Entreprise,EstablishmentNumber,StartDate,EnterpriseNumber
Google Belgium,2.151.627.472,10-02-2006,0878.065.378
Apple Belgium,2.200.008.005,06-05-2011,0836.157.420
Apple Belgium,2.244.110.935,19-09-2015,0836.157.420
SNCB,2.143.271.418,01-01-1968,0203.430.576
SNCB,2.143.272.111,01-01-1968,0203.430.576
SNCB,2.143.273.594,01-01-1968,0203.430.576
SNCB,2.143.273.693,01-01-1968,0203.430.576
SNCB,2.143.273.891,01-01-1968,0203.430.576
SNCB,2.143.274.584,01-01-1968,0203.430.576
SNCB,2.143.274.683,01-01-1968,0203.430.576
SNCB,2.143.274.782,01-01-1968,0203.430.576
SNCB,2.143.274.980,01-01-1968,0203.430.576
SNCB,2.143.275.079,01-01-1968,0203.430.576
SNCB,2.143.275.475,01-01-1968,0203.430.576
SNCB,2.143.275.574,01-01-1968,0203.430.576
SNCB,2.143.275.871,01-01-1968,0203.430.576
SNCB,2.143.277.356,01-01-1968,0203.430.576
SNCB,2.143.278.049,01-01-1968,0203.430.576
SNCB,2.143.278.940,01-01-1968,0203.430.576
SNCB,2.143.279.237,01-01-1968,0203.430.576
SNCB,2.143.280.524,01-01-1968,0203.430.576
SNCB,2.143.281.118,01-01-1968,0203.430.576
SNCB,2.143.281.712,01-01-1968,0203.430.576
SNCB,2.143.282.997,01-01-1968,0203.430.576
SNCB,2.143.283.393,01-01-1968,0203.430.576
SNCB,2.143.283.690,01-01-1968,0203.430.576
SNCB,2.143.284.581,01-01-1968,0203.430.576
SNCB,2.143.284.779,01-01-1968,0203.430.576
SNCB,2.143.285.571,01-01-1968,0203.430.576
SNCB,2.143.286.066,01-01-1968,0203.430.576
SNCB,2.143.286.165,01-01-1968,0203.430.576
SNCB,2.143.286.363,01-01-1968,0203.430.576
SNCB,2.143.286.759,01-01-1968,0203.430.576
SNCB,2.143.286.957,01-01-1968,0203.430.576
SNCB,2.143.287.056,01-01-1968,0203.430.576
SNCB,2.143.287.155,01-01-1968,0203.430.576
SNCB,2.143.287.452,01-01-1968,0203.430.576
SNCB,2.143.287.551,01-01-1968,0203.430.576
SNCB,2.143.287.749,01-01-1968,0203.430.576
SNCB,2.143.287.848,01-01-1968,0203.430.576
SNCB,2.143.288.937,01-01-1968,0203.430.576
SNCB,2.143.289.333,01-01-1968,0203.430.576
SNCB,2.143.289.531,01-01-1968,0203.430.576
SNCB,2.143.290.026,01-01-1968,0203.430.576
SNCB,2.143.290.620,01-01-1968,0203.430.576
SNCB,2.143.291.016,01-01-1968,0203.430.576
SNCB,2.143.291.115,01-01-1968,0203.430.576
SNCB,2.143.291.412,01-01-1968,0203.430.576
SNCB,2.143.291.709,01-01-1968,0203.430.576
SNCB,2.143.291.907,01-01-1968,0203.430.576
SNCB,2.143.292.303,01-01-1968,0203.430.576
SNCB,2.143.293.489,01-01-1968,0203.430.576
SNCB,2.143.293.588,01-01-1968,0203.430.576
SNCB,2.143.293.687,01-01-1968,0203.430.576
SNCB,2.143.293.984,01-01-1968,0203.430.576
SNCB,2.143.294.083,01-01-1968,0203.430.576
SNCB,2.143.294.479,01-01-1968,0203.430.576
SNCB,2.143.295.370,01-01-1968,0203.430.576
SNCB,2.143.296.360,01-01-1968,0203.430.576
SNCB,2.143.296.657,01-01-1968,0203.430.576
SNCB,2.143.296.756,01-01-1968,0203.430.576
SNCB,2.143.296.954,01-01-1968,0203.430.576
SNCB,2.143.297.251,01-01-1968,0203.430.576
SNCB,2.143.297.548,01-01-1968,0203.430.576
SNCB,2.143.297.647,01-01-1968,0203.430.576
SNCB,2.143.297.746,01-01-1968,0203.430.576
SNCB,2.143.298.340,01-01-1968,0203.430.576
SNCB,2.143.298.835,01-01-1968,0203.430.576
SNCB,2.143.299.330,01-01-1968,0203.430.576
SNCB,2.143.299.528,01-01-1968,0203.430.576
SNCB,2.143.299.627,01-01-1968,0203.430.576
SNCB,2.143.299.825,01-01-1968,0203.430.576
SNCB,2.143.300.122,01-01-1968,0203.430.576
SNCB,2.143.300.320,01-01-1968,0203.430.576
SNCB,2.143.300.419,01-01-1968,0203.430.576
SNCB,2.143.300.617,01-01-1968,0203.430.576
SNCB,2.143.301.013,01-01-1968,0203.430.576
SNCB,2.143.301.211,01-01-1968,0203.430.576
SNCB,2.143.301.508,01-01-1968,0203.430.576
SNCB,2.143.301.607,01-01-1968,0203.430.576
SNCB,2.143.301.805,01-01-1968,0203.430.576
SNCB,2.143.302.102,01-01-1968,0203.430.576
SNCB,2.143.302.201,01-01-1968,0203.430.576
SNCB,2.143.302.793,01-01-1968,0203.430.576
SNCB,2.143.302.892,01-01-1968,0203.430.576
SNCB,2.143.302.991,01-01-1968,0203.430.576
SNCB,2.143.303.981,01-01-1968,0203.430.576
SNCB,2.143.304.377,01-01-1968,0203.430.576
SNCB,2.143.304.773,01-01-1968,0203.430.576
SNCB,2.143.305.664,01-01-1968,0203.430.576
SNCB,2.143.305.763,01-01-1968,0203.430.576
SNCB,2.143.305.862,01-01-1968,0203.430.576
SNCB,2.143.306.357,01-01-1968,0203.430.576
SNCB,2.143.307.050,01-01-1968,0203.430.576
SNCB,2.143.307.248,01-01-1968,0203.430.576
SNCB,2.143.307.347,01-01-1968,0203.430.576
SNCB,2.143.307.446,01-01-1968,0203.430.576
SNCB,2.143.308.040,01-01-1968,0203.430.576
SNCB,2.143.308.832,01-01-1968,0203.430.576
SNCB,2.143.309.327,01-01-1968,0203.430.576
SNCB,2.143.309.624,01-01-1968,0203.430.576
SNCB,2.143.310.020,01-01-1968,0203.430.576
SNCB,2.143.310.317,01-01-1968,0203.430.576
