Entreprise,Source_table,0,1,2,3
Google Belgium,0,Algemeen,Algemeen,Algemeen,Algemeen
Google Belgium,0,Ondernemingsnummer:,0878.065.378,0878.065.378,0878.065.378
Google Belgium,0,Status:,Actief,Actief,Actief
Google Belgium,0,Rechtstoestand:,Normale toestand Sinds 21 december 2005,Normale toestand Sinds 21 december 2005,Normale toestand Sinds 21 december 2005
Google Belgium,0,,,,
Google Belgium,0,Begindatum:,21 december 2005,21 december 2005,21 december 2005
Google Belgium,0,Naam:,"GOOGLE BELGIUM Naam in het Nederlands, sinds 19 december 2005","GOOGLE BELGIUM Naam in het Nederlands, sinds 19 december 2005","GOOGLE BELGIUM Naam in het Nederlands, sinds 19 december 2005"
Google Belgium,0,,,,
Google Belgium,0,Adres van de zetel:,Steenweg op Etterbeek 180  1040 Brussel  Extra adresinfo:  GooglePlex  Sinds 12 november 2009,Steenweg op Etterbeek 180  1040 Brussel  Extra adresinfo:  GooglePlex  Sinds 12 november 2009,Steenweg op Etterbeek 180  1040 Brussel  Extra adresinfo:  GooglePlex  Sinds 12 november 2009
Google Belgium,0,Telefoonnummer:,Geen gegevens opgenomen in KBO.,Geen gegevens opgenomen in KBO.,Geen gegevens opgenomen in KBO.
Google Belgium,0,Faxnummer:,Geen gegevens opgenomen in KBO.,Geen gegevens opgenomen in KBO.,Geen gegevens opgenomen in KBO.
Google Belgium,0,E-mail:,Geen gegevens opgenomen in KBO.,Geen gegevens opgenomen in KBO.,Geen gegevens opgenomen in KBO.
Google Belgium,0,Webadres:,Geen gegevens opgenomen in KBO.,Geen gegevens opgenomen in KBO.,Geen gegevens opgenomen in KBO.
Google Belgium,0,Type entiteit:,Rechtspersoon,Rechtspersoon,Rechtspersoon
Google Belgium,0,Rechtsvorm:,Naamloze vennootschap  Sinds 19 december 2005,Naamloze vennootschap  Sinds 19 december 2005,Naamloze vennootschap  Sinds 19 december 2005
Google Belgium,0,Aantal vestigingseenheden (VE):,1 Gegevens en activiteiten per VE,1 Gegevens en activiteiten per VE,
Google Belgium,0,,,,
Google Belgium,0,Functies,Functies,Functies,Functies
Google Belgium,0,Bestuurder,"Fagan , Frank",Sinds 8 augustus 2025,
Google Belgium,0,Bestuurder,"KARAIVANOV , SVILEN",Sinds 5 juli 2018,
Google Belgium,0,Bestuurder,"Turschl , Gabor",Sinds 3 september 2021,
Google Belgium,0,Gedelegeerd bestuurder,"Turschl , Gabor",Sinds 3 september 2021,
Google Belgium,0,,,,
Google Belgium,0,Ondernemersvaardigheden - ambulant - kermisuitbater,Ondernemersvaardigheden - ambulant - kermisuitbater,Ondernemersvaardigheden - ambulant - kermisuitbater,Ondernemersvaardigheden - ambulant - kermisuitbater
Google Belgium,0,Geen gegevens opgenomen in KBO.,Geen gegevens opgenomen in KBO.,Geen gegevens opgenomen in KBO.,
Google Belgium,0,,,,
