Entreprise,Source_table,0,1,2,3
Google Belgium,1,,,,
Google Belgium,1,Financiële gegevens,Financiële gegevens,Financiële gegevens,Financiële gegevens
Google Belgium,1,Kapitaal,"770.000,00 EUR","770.000,00 EUR","770.000,00 EUR"
Google Belgium,1,Jaarvergadering,juni,juni,juni
Google Belgium,1,Einddatum boekjaar,31 december,31 december,31 december
Google Belgium,1,,,,
Google Belgium,1,Linken tussen entiteiten,Linken tussen entiteiten,Linken tussen entiteiten,Linken tussen entiteiten
Google Belgium,1,Geen gegevens opgenomen in KBO.,Geen gegevens opgenomen in KBO.,Geen gegevens opgenomen in KBO.,
Google Belgium,1,,,,
Google Belgium,1,Externe links,Externe links,Externe links,Externe links
Google Belgium,1,Publicaties in het Belgisch Staatsblad Publicaties van de jaarrekeningen bij de NBB Databank van statuten en vertegenwoordigingsbevoegdheden (notariële akten) Werkgeversrepertorium Check inhoudingsplicht Centraal register van bestuursverboden - aanmelden,,,
Apple Belgium,1,,,,
Apple Belgium,1,Financiële gegevens,Financiële gegevens,Financiële gegevens,Financiële gegevens
Apple Belgium,1,Jaarvergadering,maart,maart,maart
Apple Belgium,1,Einddatum boekjaar,24 september,24 september,24 september
Apple Belgium,1,,,,
Apple Belgium,1,Linken tussen entiteiten,Linken tussen entiteiten,Linken tussen entiteiten,Linken tussen entiteiten
Apple Belgium,1,Geen gegevens opgenomen in KBO.,Geen gegevens opgenomen in KBO.,Geen gegevens opgenomen in KBO.,
Apple Belgium,1,,,,
Apple Belgium,1,Externe links,Externe links,Externe links,Externe links
Apple Belgium,1,Publicaties in het Belgisch Staatsblad Publicaties van de jaarrekeningen bij de NBB Databank van statuten en vertegenwoordigingsbevoegdheden (notariële akten) Werkgeversrepertorium Check inhoudingsplicht Centraal register van bestuursverboden - aanmelden,,,
SNCB,1,,,,
SNCB,1,Financiële gegevens,Financiële gegevens,Financiële gegevens,Financiële gegevens
SNCB,1,Kapitaal,"249.022.345,57 EUR","249.022.345,57 EUR","249.022.345,57 EUR"
SNCB,1,Jaarvergadering,mei,mei,mei
SNCB,1,Einddatum boekjaar,31 december,31 december,31 december
SNCB,1,,,,
SNCB,1,Linken tussen entiteiten,Linken tussen entiteiten,Linken tussen entiteiten,Linken tussen entiteiten
SNCB,1,0260.581.887 (Financière TGV - HST-FIN)  is opgeslorpt door deze entiteit sinds 10 september 2004,0260.581.887 (Financière TGV - HST-FIN)  is opgeslorpt door deze entiteit sinds 10 september 2004,0260.581.887 (Financière TGV - HST-FIN)  is opgeslorpt door deze entiteit sinds 10 september 2004,0260.581.887 (Financière TGV - HST-FIN)  is opgeslorpt door deze entiteit sinds 10 september 2004
SNCB,1,0419.345.054 (L.A. GROUP)  is opgeslorpt door deze entiteit sinds 29 juni 2012,0419.345.054 (L.A. GROUP)  is opgeslorpt door deze entiteit sinds 29 juni 2012,0419.345.054 (L.A. GROUP)  is opgeslorpt door deze entiteit sinds 29 juni 2012,0419.345.054 (L.A. GROUP)  is opgeslorpt door deze entiteit sinds 29 juni 2012
SNCB,1,0869.763.069 (Nationale Maatschappij der Belgische Spoorwegen)  is opgeslorpt door deze entiteit sinds 1 januari 2014,0869.763.069 (Nationale Maatschappij der Belgische Spoorwegen)  is opgeslorpt door deze entiteit sinds 1 januari 2014,0869.763.069 (Nationale Maatschappij der Belgische Spoorwegen)  is opgeslorpt door deze entiteit sinds 1 januari 2014,0869.763.069 (Nationale Maatschappij der Belgische Spoorwegen)  is opgeslorpt door deze entiteit sinds 1 januari 2014
SNCB,1,0433.939.101 (FONCIERE RUE DE FRANCE - VASTGOEDMAATSCHAPPIJ FRANKRIJKSTRAAT)  is opgeslorpt door deze entiteit sinds 1 januari 2016,0433.939.101 (FONCIERE RUE DE FRANCE - VASTGOEDMAATSCHAPPIJ FRANKRIJKSTRAAT)  is opgeslorpt door deze entiteit sinds 1 januari 2016,0433.939.101 (FONCIERE RUE DE FRANCE - VASTGOEDMAATSCHAPPIJ FRANKRIJKSTRAAT)  is opgeslorpt door deze entiteit sinds 1 januari 2016,0433.939.101 (FONCIERE RUE DE FRANCE - VASTGOEDMAATSCHAPPIJ FRANKRIJKSTRAAT)  is opgeslorpt door deze entiteit sinds 1 januari 2016
SNCB,1,0896.513.095 (SOUTH STATION)  is opgeslorpt door deze entiteit sinds 1 januari 2016,0896.513.095 (SOUTH STATION)  is opgeslorpt door deze entiteit sinds 1 januari 2016,0896.513.095 (SOUTH STATION)  is opgeslorpt door deze entiteit sinds 1 januari 2016,0896.513.095 (SOUTH STATION)  is opgeslorpt door deze entiteit sinds 1 januari 2016
SNCB,1,0826.478.107 (SPV LLN)  is opgeslorpt door deze entiteit sinds 22 december 2017,0826.478.107 (SPV LLN)  is opgeslorpt door deze entiteit sinds 22 december 2017,0826.478.107 (SPV LLN)  is opgeslorpt door deze entiteit sinds 22 december 2017,0826.478.107 (SPV LLN)  is opgeslorpt door deze entiteit sinds 22 december 2017
SNCB,1,0446.601.757 (EUROSTATION)  is opgeslorpt door deze entiteit sinds 26 oktober 2018,0446.601.757 (EUROSTATION)  is opgeslorpt door deze entiteit sinds 26 oktober 2018,0446.601.757 (EUROSTATION)  is opgeslorpt door deze entiteit sinds 26 oktober 2018,0446.601.757 (EUROSTATION)  is opgeslorpt door deze entiteit sinds 26 oktober 2018
SNCB,1,0899.438.834 (B-PARKING)  is opgeslorpt door deze entiteit sinds 2 juli 2021,0899.438.834 (B-PARKING)  is opgeslorpt door deze entiteit sinds 2 juli 2021,0899.438.834 (B-PARKING)  is opgeslorpt door deze entiteit sinds 2 juli 2021,0899.438.834 (B-PARKING)  is opgeslorpt door deze entiteit sinds 2 juli 2021
SNCB,1,0451.150.562 (Eurogare)  is opgeslorpt door deze entiteit sinds 17 december 2021,0451.150.562 (Eurogare)  is opgeslorpt door deze entiteit sinds 17 december 2021,0451.150.562 (Eurogare)  is opgeslorpt door deze entiteit sinds 17 december 2021,0451.150.562 (Eurogare)  is opgeslorpt door deze entiteit sinds 17 december 2021
SNCB,1,0402.698.765 (Railtour)  is opgeslorpt door deze entiteit sinds 25 februari 2022,0402.698.765 (Railtour)  is opgeslorpt door deze entiteit sinds 25 februari 2022,0402.698.765 (Railtour)  is opgeslorpt door deze entiteit sinds 25 februari 2022,0402.698.765 (Railtour)  is opgeslorpt door deze entiteit sinds 25 februari 2022
